SKU_ID,SKU_Category,Subdivision,Supplier_ID,Date,Lifecycle_Phase,Forecast,Actual_Demand,Demand_Fluctuation,Lead_Time_Days,On_Hand_Inventory,Remaining_Shelf_Life_Months,Total_Shelf_Life_Months,Last_Sales_Date,Forecast_Accuracy,Safety_Stock,Reorder_Point,Excess_Stock,Obsolete_Inventory_Value,Carrying_Cost,Obsolete_Inventory_Writeoff,Defective_Rate,Target_Service_Level,Return_Rate,Unit_Cost,Handling_Cost_Per_Unit,Warehouse_Utilization_Percentage,Month,Demand_3M_Rolling_Avg,Lagged_Demand,Predicted_E&O_Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_017,2023-04-30,Growth,381.17,436.92,21.17,37.0,633.57,0.0,6.0,2023-01-07,0.85,20.0,70.0,196.66,0.0,12.67,0.0,0.035,0.95,0.02,79.35,1.93,88.56,4,331.9433333333333,422.93,High-Risk
SKU_0001,Fast-Moving,Pharmaceuticals,SUP_016,2023-05-31,Decline,216.33,241.47,-6.97,39.0,338.22,6.0,12.0,2023-04-09,0.88,20.0,70.0,96.75,89.9,6.76,71.92,0.035,0.95,0.02,79.35,1.93,88.56,5,233.06000000000003,104.16,High-Risk
SKU_0001,Fast-Moving,Petrochemicals,SUP_001,2023-06-30,Decline,543.77,586.73,112.57,39.0,681.01,19.0,24.0,2023-04-21,0.92,20.0,70.0,94.28,89.91,13.62,71.93,0.035,0.95,0.02,79.35,1.93,88.56,6,447.20666666666665,239.97,High-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_012,2023-07-31,Maturity,354.99,325.27,-5.01,25.0,473.01,20.0,24.0,2023-03-13,0.92,20.0,70.0,147.74,0.0,9.46,0.0,0.035,0.95,0.02,79.35,1.93,88.56,7,395.03999999999996,436.92,High-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_004,2023-08-31,Maturity,298.63,255.73,2.23,25.0,324.74,9.0,12.0,2023-04-03,0.86,20.0,70.0,69.02,0.0,6.49,0.0,0.035,0.95,0.02,79.35,1.93,88.56,8,339.3066666666667,325.27,Low-Risk
SKU_0001,Fast-Moving,Industrial Gases,SUP_002,2023-09-30,Growth,528.55,487.69,77.55,38.0,620.39,10.0,12.0,2023-05-16,0.92,20.0,70.0,132.69,0.0,12.41,0.0,0.035,0.95,0.02,79.35,1.93,88.56,9,515.9233333333333,579.99,High-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_010,2023-10-31,Maturity,579.62,516.86,-11.98,19.0,727.79,11.0,12.0,2023-08-05,0.89,20.0,70.0,210.93,0.0,14.56,0.0,0.035,0.95,0.02,79.35,1.93,88.56,10,365.9533333333334,255.73,High-Risk
SKU_0001,Fast-Moving,Agrochemicals,SUP_013,2023-11-30,Growth,509.8,526.1,22.6,7.0,752.0,6.0,6.0,2023-10-18,0.97,20.0,70.0,225.9,0.0,15.04,0.0,0.035,0.95,0.02,79.35,1.93,88.56,11,432.8966666666667,516.86,High-Risk
SKU_0001,Fast-Moving,Industrial Gases,SUP_018,2023-12-31,Introduction,371.02,382.8,43.22,38.0,493.94,13.0,24.0,2023-09-22,0.97,20.0,70.0,111.14,0.0,9.88,0.0,0.035,0.95,0.02,79.35,1.93,88.56,12,483.49333333333334,487.69,High-Risk
SKU_0002,Slow-Moving,Specialty Chemicals,SUP_012,2022-01-31,Growth,317.73,359.73,9.73,40.0,424.68,14.0,24.0,2021-08-16,0.87,17.0,171.0,64.95,0.0,8.49,0.0,0.039,0.95,0.02,85.92,0.9,88.32,1,432.1233333333333,486.25,Low-Risk
SKU_0002,Slow-Moving,Petrochemicals,SUP_012,2022-02-28,Decline,239.55,235.09,-2.45,18.0,322.99,9.0,18.0,2021-09-13,0.98,17.0,171.0,87.9,103.25,6.46,82.6,0.039,0.95,0.02,85.92,0.9,88.32,2,353.93,586.73,Low-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_009,2022-03-31,Decline,445.37,368.94,11.97,19.0,505.98,0.0,6.0,2022-03-19,0.83,17.0,171.0,137.03,160.39,10.12,128.31,0.039,0.95,0.02,85.92,0.9,88.32,3,413.1433333333334,382.8,High-Risk
SKU_0002,Slow-Moving,Petrochemicals,SUP_014,2022-04-30,Decline,404.04,338.09,14.64,18.0,404.16,0.0,6.0,2022-04-13,0.84,17.0,171.0,66.07,59.25,8.08,47.4,0.039,0.95,0.02,85.92,0.9,88.32,4,386.6366666666666,235.09,Low-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_003,2022-05-31,Introduction,323.45,323.73,1.15,11.0,390.72,0.0,6.0,2022-02-10,1.0,17.0,171.0,66.99,0.0,7.81,0.0,0.039,0.95,0.02,85.92,0.9,88.32,5,358.49,368.94,Low-Risk
SKU_0002,Slow-Moving,Specialty Chemicals,SUP_014,2022-06-30,Growth,359.56,295.51,42.76,19.0,333.95,7.0,12.0,2022-01-11,0.82,17.0,171.0,38.44,0.0,6.68,0.0,0.039,0.95,0.02,85.92,0.9,88.32,6,380.49666666666667,359.73,Low-Risk
SKU_0002,Slow-Moving,Pharmaceuticals,SUP_016,2022-07-31,Growth,137.09,171.39,-7.01,9.0,216.26,20.0,24.0,2022-03-04,0.75,17.0,171.0,44.87,0.0,4.33,0.0,0.039,0.95,0.02,85.92,0.9,88.32,7,172.34,241.47,Low-Risk
SKU_0002,Slow-Moving,Petrochemicals,SUP_014,2022-08-31,Growth,196.09,243.91,1.39,21.0,360.61,21.0,24.0,2022-05-26,0.76,17.0,171.0,116.69,0.0,7.21,0.0,0.039,0.95,0.02,85.92,0.9,88.32,8,272.3633333333333,338.09,High-Risk
SKU_0002,Slow-Moving,Specialty Chemicals,SUP_003,2022-09-30,Maturity,428.18,416.8,18.98,33.0,500.2,4.0,6.0,2022-06-02,0.97,17.0,171.0,83.4,0.0,10.0,0.0,0.039,0.95,0.02,85.92,0.9,88.32,9,357.34666666666664,295.51,Low-Risk
SKU_0002,Slow-Moving,Agrochemicals,SUP_013,2022-10-31,Growth,128.47,131.19,-3.53,14.0,174.17,17.0,18.0,2022-06-19,0.98,17.0,171.0,42.98,0.0,3.48,0.0,0.039,0.95,0.02,85.92,0.9,88.32,10,391.3833333333334,526.1,Low-Risk
SKU_0002,Slow-Moving,Agrochemicals,SUP_008,2022-11-30,Maturity,554.3,627.66,-22.9,12.0,754.73,6.0,6.0,2022-08-23,0.87,17.0,171.0,127.07,0.0,15.09,0.0,0.039,0.95,0.02,85.92,0.9,88.32,11,428.3166666666666,131.19,High-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_004,2022-12-31,Introduction,551.08,578.57,125.38,5.0,699.19,0.0,6.0,2022-08-17,0.95,17.0,171.0,120.61,0.0,13.98,0.0,0.039,0.95,0.02,85.92,0.9,88.32,12,423.74666666666667,323.73,High-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_017,2023-01-31,Decline,137.04,104.8,1.74,8.0,119.39,2.0,12.0,2023-01-07,0.76,17.0,171.0,14.59,13.99,2.39,11.19,0.039,0.95,0.02,85.92,0.9,88.32,1,335.7,578.57,Low-Risk
SKU_0002,Slow-Moving,Agrochemicals,SUP_018,2023-02-28,Decline,240.95,221.55,12.95,20.0,303.25,9.0,18.0,2022-11-30,0.92,17.0,171.0,81.7,83.11,6.06,66.49,0.039,0.95,0.02,85.92,0.9,88.32,2,326.79999999999995,627.66,Low-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_016,2023-03-31,Maturity,376.36,309.1,54.06,7.0,410.43,4.0,12.0,2023-03-14,0.82,17.0,171.0,101.32,0.0,8.21,0.0,0.039,0.95,0.02,85.92,0.9,88.32,3,330.8233333333333,104.8,High-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_007,2023-04-30,Decline,144.0,172.02,8.7,33.0,197.02,5.0,12.0,2022-11-30,0.81,17.0,171.0,25.0,26.91,3.94,21.53,0.039,0.95,0.02,85.92,0.9,88.32,4,195.3066666666667,309.1,Low-Risk
SKU_0002,Slow-Moving,Specialty Chemicals,SUP_012,2023-05-31,Growth,118.17,103.45,3.77,28.0,117.66,6.0,12.0,2022-12-04,0.88,17.0,171.0,14.22,0.0,2.35,0.0,0.039,0.95,0.02,85.92,0.9,88.32,5,271.92,416.8,Low-Risk
SKU_0002,Slow-Moving,Specialty Chemicals,SUP_004,2023-06-30,Maturity,105.93,72.24,-7.37,33.0,88.63,7.0,12.0,2023-01-31,0.68,17.0,171.0,16.39,0.0,1.77,0.0,0.039,0.95,0.02,85.92,0.9,88.32,6,197.49666666666667,103.45,Low-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_020,2023-07-31,Decline,170.32,249.32,-1.28,36.0,288.1,2.0,6.0,2023-02-03,0.54,17.0,171.0,38.78,28.92,5.76,23.14,0.039,0.95,0.02,85.92,0.9,88.32,7,243.48000000000002,172.02,Low-Risk
SKU_0002,Slow-Moving,Agrochemicals,SUP_014,2023-08-31,Decline,348.84,358.34,26.04,39.0,484.48,15.0,18.0,2023-03-14,0.97,17.0,171.0,126.14,131.79,9.69,105.43,0.039,0.95,0.02,85.92,0.9,88.32,8,402.5166666666666,221.55,High-Risk
SKU_0002,Slow-Moving,Industrial Gases,SUP_009,2023-09-30,Introduction,192.54,208.42,-18.66,25.0,238.95,10.0,12.0,2023-08-30,0.92,17.0,171.0,30.54,0.0,4.78,0.0,0.039,0.95,0.02,85.92,0.9,88.32,9,209.92,249.32,Low-Risk
SKU_0002,Slow-Moving,Pharmaceuticals,SUP_007,2023-10-31,Decline,370.07,384.14,-0.63,30.0,504.4,11.0,12.0,2023-08-19,0.96,17.0,171.0,120.26,89.81,10.09,71.85,0.039,0.95,0.02,85.92,0.9,88.32,10,265.6666666666667,171.39,High-Risk
SKU_0002,Slow-Moving,Pharmaceuticals,SUP_012,2023-11-30,Introduction,382.37,304.19,6.17,7.0,342.44,24.0,24.0,2023-09-03,0.8,17.0,171.0,38.25,0.0,6.85,0.0,0.039,0.95,0.02,85.92,0.9,88.32,11,286.5733333333333,384.14,Low-Risk
SKU_0002,Slow-Moving,Pharmaceuticals,SUP_009,2023-12-31,Growth,427.23,429.52,-43.57,21.0,641.89,1.0,12.0,2023-09-13,0.99,17.0,171.0,212.37,0.0,12.84,0.0,0.039,0.95,0.02,85.92,0.9,88.32,12,372.6166666666666,304.19,High-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_019,2022-01-31,Decline,455.95,463.18,38.35,22.0,602.89,14.0,24.0,2021-08-21,0.98,20.0,138.0,139.71,119.43,12.06,95.55,0.043,0.98,0.05,79.98,1.6,51.43,1,347.69,358.34,High-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_004,2022-02-28,Growth,348.59,370.84,-15.51,34.0,515.97,0.0,6.0,2021-11-14,0.94,20.0,138.0,145.13,0.0,10.32,0.0,0.043,0.98,0.05,79.98,1.6,51.43,2,368.18333333333334,429.52,High-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_014,2022-03-31,Introduction,249.51,224.55,31.71,23.0,295.92,4.0,12.0,2022-02-03,0.9,20.0,138.0,71.37,0.0,5.92,0.0,0.043,0.98,0.05,79.98,1.6,51.43,3,341.6366666666666,370.84,Low-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_005,2022-04-30,Introduction,428.61,482.47,37.01,32.0,668.22,5.0,12.0,2022-02-18,0.87,20.0,138.0,185.75,0.0,13.36,0.0,0.043,0.98,0.05,79.98,1.6,51.43,4,359.2866666666667,224.55,High-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_004,2022-05-31,Decline,218.4,207.15,0.6,31.0,235.99,18.0,24.0,2022-04-03,0.95,20.0,138.0,28.84,25.74,4.72,20.6,0.043,0.98,0.05,79.98,1.6,51.43,5,221.63,208.42,Low-Risk
SKU_0003,Low-Value,Specialty Chemicals,SUP_003,2022-06-30,Maturity,201.36,171.81,-1.04,28.0,242.97,1.0,6.0,2022-03-26,0.85,20.0,138.0,71.16,0.0,4.86,0.0,0.043,0.98,0.05,79.98,1.6,51.43,6,115.83333333333333,72.24,Low-Risk
SKU_0003,Low-Value,Petrochemicals,SUP_002,2022-07-31,Decline,118.52,139.7,-4.68,34.0,202.02,8.0,12.0,2022-07-15,0.82,20.0,138.0,62.32,67.85,4.04,54.28,0.043,0.98,0.05,79.98,1.6,51.43,7,240.56666666666663,243.91,Low-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_016,2022-08-31,Growth,577.42,578.62,41.02,6.0,687.47,9.0,12.0,2022-04-13,1.0,20.0,138.0,108.85,0.0,13.75,0.0,0.043,0.98,0.05,79.98,1.6,51.43,8,466.71333333333337,463.18,High-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_007,2022-09-30,Introduction,323.15,319.57,-27.75,40.0,428.96,16.0,18.0,2022-04-08,0.99,20.0,138.0,109.39,0.0,8.58,0.0,0.043,0.98,0.05,79.98,1.6,51.43,9,342.1966666666667,482.47,High-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_002,2022-10-31,Introduction,319.03,358.79,16.53,27.0,451.77,17.0,18.0,2022-09-05,0.88,20.0,138.0,92.98,0.0,9.04,0.0,0.043,0.98,0.05,79.98,1.6,51.43,10,258.12,207.15,Low-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_011,2022-11-30,Growth,459.46,525.32,38.16,21.0,769.66,12.0,12.0,2022-07-30,0.86,20.0,138.0,244.34,0.0,15.39,0.0,0.043,0.98,0.05,79.98,1.6,51.43,11,442.4533333333334,319.57,High-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_014,2022-12-31,Growth,314.58,327.72,4.98,24.0,418.56,0.0,6.0,2022-11-23,0.96,20.0,138.0,90.84,0.0,8.37,0.0,0.043,0.98,0.05,79.98,1.6,51.43,12,456.5066666666667,578.62,Low-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_001,2023-01-31,Decline,546.29,548.4,36.99,29.0,613.34,0.0,6.0,2023-01-06,1.0,20.0,138.0,64.94,56.93,12.27,45.55,0.043,0.98,0.05,79.98,1.6,51.43,1,371.4466666666667,358.79,Low-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_003,2023-02-28,Growth,411.84,343.5,17.04,5.0,479.82,3.0,12.0,2022-12-16,0.83,20.0,138.0,136.32,0.0,9.6,0.0,0.043,0.98,0.05,79.98,1.6,51.43,2,416.6133333333334,327.72,High-Risk
SKU_0003,Low-Value,Petrochemicals,SUP_010,2023-03-31,Maturity,194.21,231.38,-13.69,39.0,263.08,10.0,18.0,2023-02-18,0.81,20.0,138.0,31.7,0.0,5.26,0.0,0.043,0.98,0.05,79.98,1.6,51.43,3,204.99666666666667,139.7,Low-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_017,2023-04-30,Decline,227.73,226.88,2.23,20.0,322.55,11.0,18.0,2023-03-04,1.0,20.0,138.0,95.67,94.81,6.45,75.85,0.043,0.98,0.05,79.98,1.6,51.43,4,378.02333333333337,548.4,High-Risk
SKU_0003,Low-Value,Petrochemicals,SUP_008,2023-05-31,Growth,464.81,467.14,31.41,8.0,660.17,6.0,12.0,2023-01-22,0.99,20.0,138.0,193.04,0.0,13.2,0.0,0.043,0.98,0.05,79.98,1.6,51.43,5,279.4066666666667,231.38,High-Risk
SKU_0003,Low-Value,Specialty Chemicals,SUP_007,2023-06-30,Decline,234.61,264.78,45.41,15.0,294.29,1.0,6.0,2023-01-31,0.87,20.0,138.0,29.5,21.03,5.89,16.83,0.043,0.98,0.05,79.98,1.6,51.43,6,169.60999999999999,171.81,Low-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_018,2023-07-31,Introduction,175.95,189.29,-5.55,11.0,255.21,8.0,12.0,2023-05-31,0.92,20.0,138.0,65.92,0.0,5.1,0.0,0.043,0.98,0.05,79.98,1.6,51.43,7,321.5233333333333,226.88,Low-Risk
SKU_0003,Low-Value,Industrial Gases,SUP_018,2023-08-31,Maturity,148.2,118.01,-5.8,32.0,170.74,15.0,18.0,2023-06-08,0.8,20.0,138.0,52.74,0.0,3.41,0.0,0.043,0.98,0.05,79.98,1.6,51.43,8,178.05999999999997,189.29,Low-Risk
SKU_0003,Low-Value,Pharmaceuticals,SUP_018,2023-09-30,Decline,448.42,440.66,-22.38,23.0,564.81,4.0,6.0,2023-06-03,0.98,20.0,138.0,124.15,97.05,11.3,77.64,0.043,0.98,0.05,79.98,1.6,51.43,9,428.5166666666667,525.32,High-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_008,2023-10-31,Introduction,290.53,303.27,18.13,17.0,431.61,17.0,18.0,2023-07-08,0.96,20.0,138.0,128.34,0.0,8.63,0.0,0.043,0.98,0.05,79.98,1.6,51.43,10,324.83,343.5,High-Risk
SKU_0003,Low-Value,Agrochemicals,SUP_006,2023-11-30,Maturity,518.6,521.38,-9.4,32.0,642.27,6.0,6.0,2023-09-03,0.99,20.0,138.0,120.89,0.0,12.85,0.0,0.043,0.98,0.05,79.98,1.6,51.43,11,389.3833333333334,303.27,High-Risk
SKU_0003,Low-Value,Specialty Chemicals,SUP_019,2023-12-31,Decline,329.61,352.22,45.81,36.0,524.24,0.0,6.0,2023-08-27,0.93,20.0,138.0,172.03,166.1,10.48,132.88,0.043,0.98,0.05,79.98,1.6,51.43,12,262.93666666666667,264.78,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_004,2022-01-31,Growth,224.41,235.91,-7.69,6.0,270.68,14.0,24.0,2021-10-31,0.95,38.0,59.0,34.77,0.0,5.41,0.0,0.02,0.97,0.04,15.5,0.94,62.82,1,284.30333333333334,352.22,Low-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_010,2022-02-28,Growth,212.53,167.23,6.83,17.0,205.55,0.0,6.0,2021-12-21,0.79,38.0,59.0,38.32,0.0,4.11,0.0,0.02,0.97,0.04,15.5,0.94,62.82,2,288.5833333333333,467.14,Low-Risk
SKU_0004,Slow-Moving,Industrial Gases,SUP_016,2022-03-31,Maturity,498.84,487.55,-30.26,26.0,652.83,16.0,24.0,2021-12-31,0.98,38.0,59.0,165.28,0.0,13.06,0.0,0.02,0.97,0.04,15.5,0.94,62.82,3,264.95,118.01,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_004,2022-04-30,Decline,496.95,527.67,6.35,26.0,742.09,17.0,24.0,2022-01-29,0.94,38.0,59.0,214.42,229.49,14.84,183.6,0.02,0.97,0.04,15.5,0.94,62.82,4,371.9333333333334,235.91,High-Risk
SKU_0004,Slow-Moving,Pharmaceuticals,SUP_008,2022-05-31,Growth,405.26,412.77,-3.94,14.0,507.36,0.0,6.0,2022-05-20,0.98,38.0,59.0,94.59,0.0,10.15,0.0,0.02,0.97,0.04,15.5,0.94,62.82,5,459.5833333333333,440.66,High-Risk
SKU_0004,Slow-Moving,Pharmaceuticals,SUP_015,2022-06-30,Maturity,159.51,249.67,-6.59,5.0,366.2,7.0,12.0,2022-03-13,0.43,38.0,59.0,116.53,0.0,7.32,0.0,0.02,0.97,0.04,15.5,0.94,62.82,6,367.7,412.77,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_010,2022-07-31,Growth,521.56,513.1,2.36,5.0,620.85,20.0,24.0,2022-05-16,0.98,38.0,59.0,107.75,0.0,12.42,0.0,0.02,0.97,0.04,15.5,0.94,62.82,7,425.56,527.67,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_014,2022-08-31,Introduction,349.97,283.38,-16.33,6.0,339.99,3.0,6.0,2022-07-18,0.81,38.0,59.0,56.62,0.0,6.8,0.0,0.02,0.97,0.04,15.5,0.94,62.82,8,441.3833333333334,513.1,Low-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_016,2022-09-30,Growth,146.82,178.77,11.52,39.0,227.84,22.0,24.0,2022-07-14,0.78,38.0,59.0,49.07,0.0,4.56,0.0,0.02,0.97,0.04,15.5,0.94,62.82,9,271.0466666666667,167.23,Low-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_002,2022-10-31,Introduction,377.08,372.52,-12.32,26.0,461.22,5.0,6.0,2022-07-11,0.99,38.0,59.0,88.7,0.0,9.22,0.0,0.02,0.97,0.04,15.5,0.94,62.82,10,239.50666666666666,178.77,High-Risk
SKU_0004,Slow-Moving,Industrial Gases,SUP_012,2022-11-30,Decline,295.53,239.67,23.83,21.0,324.9,24.0,24.0,2022-07-26,0.81,38.0,59.0,85.24,82.47,6.5,65.98,0.02,0.97,0.04,15.5,0.94,62.82,11,281.74333333333334,487.55,Low-Risk
SKU_0004,Slow-Moving,Pharmaceuticals,SUP_007,2022-12-31,Introduction,500.8,511.77,99.3,20.0,710.49,13.0,24.0,2022-12-23,0.98,38.0,59.0,198.72,0.0,14.21,0.0,0.02,0.97,0.04,15.5,0.94,62.82,12,391.40333333333336,249.67,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_019,2023-01-31,Growth,521.04,512.42,-5.86,9.0,690.83,0.0,6.0,2022-10-15,0.98,38.0,59.0,178.4,0.0,13.82,0.0,0.02,0.97,0.04,15.5,0.94,62.82,1,436.3,283.38,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_019,2023-02-28,Introduction,513.79,525.69,28.69,20.0,745.87,9.0,18.0,2023-02-11,0.98,38.0,59.0,220.18,0.0,14.92,0.0,0.02,0.97,0.04,15.5,0.94,62.82,2,440.49666666666667,512.42,High-Risk
SKU_0004,Slow-Moving,Agrochemicals,SUP_010,2023-03-31,Decline,621.43,626.84,129.43,33.0,865.19,10.0,18.0,2023-03-03,0.99,38.0,59.0,238.36,179.8,17.3,143.84,0.02,0.97,0.04,15.5,0.94,62.82,3,483.83,521.38,High-Risk
SKU_0004,Slow-Moving,Agrochemicals,SUP_006,2023-04-30,Decline,130.78,112.48,-3.62,31.0,131.89,0.0,6.0,2022-11-26,0.86,38.0,59.0,19.41,17.26,2.64,13.81,0.02,0.97,0.04,15.5,0.94,62.82,4,420.23333333333335,626.84,Low-Risk
SKU_0004,Slow-Moving,Industrial Gases,SUP_001,2023-05-31,Introduction,455.3,468.52,-8.9,36.0,610.45,12.0,18.0,2023-01-22,0.97,38.0,59.0,141.93,0.0,12.21,0.0,0.02,0.97,0.04,15.5,0.94,62.82,5,398.58,239.67,High-Risk
SKU_0004,Slow-Moving,Specialty Chemicals,SUP_020,2023-06-30,Growth,209.77,255.88,-4.73,19.0,303.99,7.0,12.0,2023-03-23,0.78,38.0,59.0,48.11,0.0,6.08,0.0,0.02,0.97,0.04,15.5,0.94,62.82,6,431.3300000000001,525.69,Low-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_009,2023-07-31,Introduction,483.84,548.45,13.04,17.0,734.91,2.0,6.0,2023-04-01,0.87,38.0,59.0,186.46,0.0,14.7,0.0,0.02,0.97,0.04,15.5,0.94,62.82,7,366.58,372.52,High-Risk
SKU_0004,Slow-Moving,Pharmaceuticals,SUP_015,2023-08-31,Growth,285.1,227.7,20.0,40.0,253.09,21.0,24.0,2023-07-20,0.8,38.0,59.0,25.39,0.0,5.06,0.0,0.02,0.97,0.04,15.5,0.94,62.82,8,329.7133333333333,511.77,Low-Risk
SKU_0004,Slow-Moving,Industrial Gases,SUP_011,2023-09-30,Decline,434.2,421.75,-0.3,19.0,564.8,16.0,18.0,2023-05-26,0.97,38.0,59.0,143.05,183.34,11.3,146.67,0.02,0.97,0.04,15.5,0.94,62.82,9,376.6466666666667,468.52,High-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_012,2023-10-31,Maturity,136.44,168.49,1.14,31.0,240.26,11.0,12.0,2023-05-31,0.77,38.0,59.0,71.77,0.0,4.81,0.0,0.02,0.97,0.04,15.5,0.94,62.82,10,363.15333333333336,548.45,Low-Risk
SKU_0004,Slow-Moving,Petrochemicals,SUP_011,2023-11-30,Decline,124.08,155.45,7.48,23.0,189.38,24.0,24.0,2023-11-16,0.75,38.0,59.0,33.93,27.46,3.79,21.97,0.02,0.97,0.04,15.5,0.94,62.82,11,290.7966666666667,168.49,Low-Risk
